x,y,ang_contr,pdoa,imu_x_g,imu_y_g,imu_z_g
4.181189,3.063597,169.2582,-8.44,-0.0117,0.0938,-0.1647
4.19689,2.979395,168.6714,-10.58,-0.0117,0.0938,-0.1647
4.152892,3.206588,170.217,-10.58,-0.0117,0.0938,-0.1647
4.140472,3.278929,170.64,-10.58,-0.0117,0.0938,-0.1647
4.058368,3.782299,173.0902,-8.1,-0.0117,0.0938,-0.1647
4.126945,3.241108,170.7656,-8.1,-0.0117,0.0938,-0.1647
4.117033,3.302994,171.1034,-8.1,-0.0117,0.0938,-0.1647
4.121769,3.272661,170.9414,-15.5,-0.0273,0.1484,-0.1646
4.150253,3.09201,169.9093,-15.5,-0.0273,0.1484,-0.1646
4.113364,3.309846,171.1836,-15.5,-0.0273,0.1484,-0.1646
4.160705,3.0011,169.4173,-15.5,-0.0273,0.1484,-0.1646
4.129951,3.178258,170.5335,-15.32,-0.0273,0.1484,-0.1646
4.153371,3.032425,169.6582,-15.32,-0.0273,0.1484,-0.1646
4.167648,2.948682,169.1033,-15.32,-0.0273,0.1484,-0.1646
4.116037,3.242673,170.9578,-15.32,-0.0273,0.1484,-0.1646
4.149401,3.026284,169.7104,-14.118,-0.0273,0.1484,-0.1646
4.184794,2.815203,168.265,-14.118,-0.0273,0.1484,-0.1646
4.152708,2.990838,169.5298,-14.118,-0.0273,0.1484,-0.1646
4.03629,3.703991,173.2821,-14.118,-0.0273,0.1484,-0.1646
4.128614,2.931228,169.7772,-15.94,-0.0273,0.1484,-0.1646
3.838772,5.033328,177.284,-15.94,-0.0273,0.1484,-0.1646
3.746257,6.351061,178.6808,-18.16,-0.0273,0.1484,-0.1646
4.355567,-3.64491,11.7112,-18.16,-0.0273,0.1484,-0.1646
4.351327,-3.676486,11.5499,-18.16,-0.0273,0.1484,-0.1646
4.355867,-3.642423,11.7235,-13.12,-0.0273,0.1484,-0.1646
4.381886,-3.448429,12.7751,-13.12,-0.0273,0.1484,-0.1646
4.439803,-3.032935,15.4771,-13.12,-0.0273,0.1484,-0.1646
4.25248,-4.302046,8.6242,-13.12,-0.0273,0.1484,-0.1646
4.313348,-3.760933,10.7399,-5.1,-0.0273,0.1484,-0.1646
4.440977,-2.710254,17.2388,-5.1,-0.0273,0.1484,-0.1646
4.390804,-3.021389,14.6673,-5.1,-0.0273,0.1484,-0.1646
4.365316,-3.190593,13.4885,-5.1,-0.0273,0.1484,-0.1646
4.421096,-2.803255,16.3257,-6.92,-0.0273,0.1445,-0.1646
4.365918,-3.153623,13.6511,-6.92,-0.0273,0.1445,-0.1646
4.341681,-3.319957,12.5931,-6.92,-0.0273,0.1445,-0.1646
4.432775,-2.656624,17.4047,-6.92,-0.0273,0.1445,-0.1646
4.285165,-3.589524,10.8066,-17.2,-0.0273,0.1445,-0.1646
4.178447,-4.367225,7.545,-17.2,-0.0273,0.1445,-0.1646
4.146315,-4.667866,6.6754,-15.12,-0.0273,0.1445,-0.1646
4.335426,-2.668103,15.4101,-15.12,-0.0273,0.1445,-0.1646
4.305151,-2.865791,13.8235,-15.12,-0.0273,0.1445,-0.1646
