x,y,ang_contr,pdoa,imu_x_g,imu_y_g,imu_z_g
3.188214,0.52246,-38.2441,-95.14,-0.0156,0.1367,-0.1615
3.19673,-1.398871,-163.9187,-96.36,-0.0156,0.1367,-0.1615
3.256749,1.131205,-16.8798,-96.36,-0.0156,0.1367,-0.1615
3.249307,1.502841,-13.1351,-96.36,-0.0156,0.1367,-0.1615
3.205818,1.423555,-15.4774,-97.4,-0.0156,0.1367,-0.1615
3.162571,1.43447,-16.9586,-97.4,-0.0156,0.1367,-0.1615
3.180068,1.416918,-16.5083,-97.12,-0.0156,0.1367,-0.1615
4.088837,2.697528,169.7285,-97.12,-0.0156,0.1367,-0.1615
4.275414,2.549481,165.162,-97.7,-0.0156,0.1094,-0.1614
4.295739,2.533516,164.6443,-97.7,-0.0156,0.1094,-0.1614
4.343434,2.496077,163.4143,-96.11,-0.0156,0.1094,-0.1614
4.298973,2.530873,164.561,-96.11,-0.0156,0.1094,-0.1614
4.300893,2.529353,164.5118,-96.11,-0.0156,0.1094,-0.1614
4.318154,2.515699,164.0676,-96.11,-0.0156,0.1094,-0.1614
3.172838,1.424149,-16.6962,-99.34,-0.0156,0.1094,-0.1614
3.160766,1.436333,-17.0038,-99.34,-0.0156,0.1094,-0.1614
3.165589,1.431488,-16.8814,-99.34,-0.0156,0.1094,-0.1614
3.180068,1.416918,-16.5083,-99.34,-0.0156,0.1094,-0.1614
3.454769,1.422125,-5.831,-99.34,-0.0156,0.1094,-0.1614
3.339116,1.37194,-10.7666,-99.116,-0.0156,0.1094,-0.1614
3.278629,1.327241,-13.6113,-99.116,-0.0156,0.1094,-0.1614
3.205202,1.266508,-17.3134,-99.116,-0.0156,0.1094,-0.1614
3.154341,1.235828,-19.8301,-99.116,-0.0156,0.1094,-0.1614
3.165686,1.243562,-19.2518,-99.116,-0.0156,0.1094,-0.1614
3.110639,1.185602,-22.4285,-99.116,-0.0156,0.1094,-0.1614
3.253087,1.265837,-15.3261,-97.104,-0.0156,0.1094,-0.1614
3.318501,1.348523,-11.791,-97.104,-0.0156,0.1094,-0.1614
3.330447,1.376472,-11.08,-97.42,-0.0156,0.1094,-0.1614
4.300893,2.529353,164.5118,-97.42,-0.0156,0.1094,-0.1614
3.343334,1.507783,-9.6607,-97.42,-0.0156,0.1094,-0.1614
3.32891,2.16553,-7.1354,-97.42,-0.0039,0.1133,-0.1615
3.31647,2.652177,-6.102,-98.11,-0.0039,0.1133,-0.1615
3.367809,1.340597,-9.8261,-98.11,-0.0039,0.1133,-0.1615
